AGENCY,Region,Province,PCODE,Municipality,MCODE,Barangay,Intervention_type,Planned_HH,HH_served,Target_Group,Status,Start_data,Completion_date ,Comments,updated,,Combinedlookup
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,GUIUAN,82609,Gahoy,Other,0,190,home based (non-displaced),Complete,41589,41599,0,41615,,GUIUANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,GUIUAN,82609,Salug,Other,0,248,home based (non-displaced),Complete,41589,41599,0,41615,,GUIUANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Bubun,construction materials,0,60,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Kennedy,construction materials,0,44,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,San Jose,construction materials,0,83,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Capungan,construction materials,0,60,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Cambante,construction materials,0,61,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Sung An,construction materials,0,107,home based (non-displaced),Complete,41589,41600,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Palamrag,construction materials,0,128,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Banuyo,construction materials,0,82,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Anuron,construction materials,0,132,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay #3,construction materials,0,79,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay #2,construction materials,0,57,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay #1,construction materials,0,63,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay #4,construction materials,0,83,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Busay,construction materials,0,78,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,San Roque,construction materials,0,85,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Buyayawon,construction materials,0,90,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Bua Bua,construction materials,0,180,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Balud,construction materials,0,76,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Butig,construction materials,0,54,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Seguinon,construction materials,0,96,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Barangay 3,construction materials,0,137,home based (non-displaced),Complete,41589,41603,0,41615,,HERNANIEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Barangay 4,construction materials,0,137,home based (non-displaced),Complete,41589,41603,0,41615,,HERNANIEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Batang,construction materials,0,182,home based (non-displaced),Complete,41589,41602,0,41615,,HERNANIEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Carmen,construction materials,0,222,home based (non-displaced),Complete,41589,41602,0,41615,,HERNANIEASTERN SAMAR
